population,hdi,gdp_ppp,ppp_pc,overall score,financial freedom,tax burden,name,mipex_score,labor freedom,fiscal health,government integrity,business freedom,gdp,rank,monetary freedom,investment freedom,trade freedom,property rights,government spending,norm_name,index year,judicial effectiveness
37900000.0,0.865,1121009.0,27690.0,67.8,70.0,74.9,poland,41,63.9,86.4,49.8,65.4,469500000000.0,23.0,82.1,80.0,86.0,62.3,48.8,poland,2019.0,44.0
,0.878,18404.0,,68.6,60.0,64.2,malta,40,61.3,94.5,50.3,67.1,,33.0,78.2,85.0,86.0,69.8,56.1,malta,2019.0,50.4
,0.855,,,65.0,70.0,78.6,slovakia,37,53.4,87.2,37.7,61.3,,34.0,78.6,75.0,86.0,68.5,46.1,slovakia,2019.0,37.2
,0.858,90387.0,,74.2,70.0,86.4,lithuania,37,63.6,97.3,47.8,75.2,,34.0,84.6,80.0,86.0,73.6,65.1,lithuania,2019.0,61.2
,0.869,31093.0,,68.1,60.0,74.9,cyprus,35,59.5,80.3,43.7,76.9,,36.0,84.0,75.0,86.0,73.1,55.2,cyprus,2019.0,48.1
2000000.0,0.847,53268.0,25702.0,70.4,60.0,77.0,latvia,31,73.3,96.9,35.5,77.5,27700000000.0,44.0,81.1,85.0,86.0,67.3,57.1,latvia,2019.0,48.4
79500000.0,0.791,2173227.0,24986.0,64.6,60.0,76.4,turkey,25,49.2,92.2,41.2,66.0,857700000000.0,46.0,70.0,70.0,79.6,55.8,65.1,turkey,2019.0,49.8
2600000.0,0.856,347887.0,125160.0,72.6,60.0,99.7,qatar,20.0,65.9,94.0,77.4,71.2,152500000000.0,48.0,78.4,60.0,83.2,64.5,56.8,qatar,2019.0,60.0
5600000.0,0.932,527021.0,87832.0,89.4,80.0,90.4,singapore,,91.0,80.0,95.1,90.8,297000000000.0,18.0,85.3,85.0,94.8,97.4,90.7,singapore,2019.0,92.4
1400000000.0,0.752,23159107.0,15395.0,58.4,20.0,70.4,china,,64.2,76.0,49.1,56.2,11200000000000.0,21.0,71.9,25.0,73.0,49.9,70.1,china,2019.0,75.2
9300000.0,0.863,686831.0,68092.0,77.6,60.0,99.2,united arab emirates,,81.1,88.9,78.8,79.9,348700000000.0,25.0,80.9,40.0,84.4,81.8,68.8,united arab emirates,2019.0,87.1
31200000.0,0.802,930750.0,27292.0,74.0,50.0,85.6,malaysia,,74.4,82.4,55.4,83.9,296400000000.0,28.0,78.6,60.0,82.0,84.1,83.2,malaysia,2019.0,68.2
68900000.0,0.755,1233737.0,16885.0,68.3,60.0,81.3,thailand,,63.9,96.5,36.4,82.5,406800000000.0,30.0,75.2,55.0,83.0,53.7,85.8,thailand,2019.0,45.9
1300000000.0,0.64,9459002.0,6694.0,55.2,40.0,79.4,india,,41.8,14.7,47.8,57.1,2300000000000.0,32.0,72.4,40.0,72.4,57.3,77.3,india,2019.0,61.6
261100000.0,0.694,3242771.0,11717.0,65.8,60.0,83.7,indonesia,,49.3,88.1,39.5,69.3,932300000000.0,34.0,77.4,45.0,79.8,52.2,91.4,indonesia,2019.0,53.5
8500000.0,0.903,316120.0,35220.0,72.8,70.0,61.9,israel,,65.1,85.3,67.9,71.4,318700000000.0,35.0,86.2,75.0,84.4,80.0,52.4,israel,2019.0,73.4
103300000.0,0.699,875572.0,7739.0,63.8,60.0,76.9,philippines,,57.9,97.1,30.9,61.3,304900000000.0,37.0,69.6,60.0,78.2,48.7,88.7,philippines,2019.0,36.4
144300000.0,0.816,4007831.0,26926.0,58.9,30.0,89.4,russia,,52.5,86.6,36.6,78.4,1300000000000.0,38.0,65.1,30.0,77.8,52.4,62.3,russia,2019.0,45.1
92700000.0,0.694,647369.0,6423.0,55.3,40.0,79.7,vietnam,,62.8,40.7,34.0,63.5,202600000000.0,40.0,68.9,30.0,79.2,49.8,74.1,vietnam,2019.0,40.3
32300000.0,0.853,1773551.0,55331.0,60.7,50.0,99.8,saudi arabia,,63.3,19.4,49.8,72.3,646400000000.0,41.0,78.1,45.0,76.0,55.0,57.5,saudi arabia,2019.0,62.7
127500000.0,0.774,2458357.0,18935.0,64.7,60.0,75.8,mexico,,58.6,83.2,26.3,67.8,1000000000000.0,42.0,75.9,75.0,81.4,59.1,78.2,mexico,2019.0,34.9
17900000.0,0.843,451070.0,24089.0,75.4,70.0,77.3,chile,,65.0,89.0,62.3,76.6,247000000000.0,43.0,84.5,85.0,88.8,68.7,81.0,chile,2019.0,56.3
10600000.0,0.736,174180.0,16071.0,61.0,40.0,84.6,dominican republic,,57.6,89.9,23.2,51.9,71600000000.0,45.0,79.7,70.0,75.8,50.6,90.3,dominican republic,2019.0,18.1
4900000.0,0.794,85781.0,16434.0,65.3,50.0,79.2,costa rica,,55.2,42.5,54.5,67.2,57400000000.0,47.0,83.2,70.0,81.4,58.3,88.4,costa rica,2019.0,54.0
31800000.0,0.75,424385.0,12913.0,67.8,60.0,80.6,peru,,63.5,88.5,31.8,67.8,192100000000.0,49.0,83.9,75.0,86.4,56.1,86.1,peru,2019.0,34.0
3400000.0,0.804,77800.0,21395.0,68.6,30.0,77.2,uruguay,,71.9,69.9,69.2,74.3,52400000000.0,50.0,72.9,85.0,78.6,68.3,67.5,uruguay,2019.0,58.9
11400000.0,0.735,136797.0,11631.0,55.4,30.0,74.4,tunisia,,50.3,37.9,36.6,76.7,42100000000.0,51.0,76.0,45.0,71.4,49.2,74.4,tunisia,2019.0,42.7
